customer_id,country,completed_revenue,completed_orders,units_sold,average_order_value,first_order_date,last_order_date,revenue_rank
18102,United Kingdom,608821.65,145,188340,4198.77,2009-12-01,2011-12-09,1
14646,Netherlands,528602.52,151,367193,3500.68,2009-12-02,2011-12-08,2
14156,EIRE,313946.37,156,165992,2012.48,2009-12-01,2011-11-30,3
14911,EIRE,295972.63,398,149987,743.65,2009-12-01,2011-12-08,4
17450,United Kingdom,246973.09,51,84720,4842.61,2010-09-27,2011-12-01,5
13694,United Kingdom,196482.81,143,189205,1374.01,2009-12-04,2011-12-06,6
17511,United Kingdom,175603.55,60,119656,2926.73,2009-12-02,2011-12-07,7
16446,United Kingdom,168472.5,2,80997,84236.25,2011-05-18,2011-12-09,8
16684,United Kingdom,147142.77,55,104810,2675.32,2009-12-07,2011-12-05,9
12415,Australia,144458.37,28,91447,5159.23,2010-06-30,2011-11-15,10
15061,United Kingdom,137818.52,127,80711,1085.19,2009-12-01,2011-12-06,11
16029,United Kingdom,122209.14,107,56486,1142.14,2009-12-08,2011-11-01,12
17949,United Kingdom,118628.08,118,60658,1005.32,2009-12-02,2011-12-08,13
15311,United Kingdom,116771.16,208,71010,561.4,2009-12-01,2011-12-09,14
13089,United Kingdom,116737.86,203,60229,575.06,2009-12-02,2011-12-07,15
12931,United Kingdom,92347.34,57,62906,1620.13,2009-12-01,2011-11-18,16
14298,United Kingdom,91194.49,82,100272,1112.13,2009-12-11,2011-12-01,17
15769,United Kingdom,88704.32,46,49104,1928.35,2009-12-11,2011-12-02,18
12346,United Kingdom,77556.46,12,74285,6463.04,2009-12-14,2011-01-18,19
13798,United Kingdom,75836.87,110,48347,689.43,2009-12-08,2011-12-08,20
15838,United Kingdom,74163.0,34,64664,2181.26,2009-12-15,2011-11-28,21
17841,United Kingdom,70884.07,211,37558,335.94,2009-12-02,2011-12-08,22
16754,United Kingdom,67502.47,29,67831,2327.67,2010-03-08,2010-12-02,23
14096,United Kingdom,65164.79,17,16352,3833.22,2011-08-30,2011-12-05,24
14088,United Kingdom,64036.8,16,15276,4002.3,2010-10-14,2011-11-29,25
16422,United Kingdom,63651.47,109,66369,583.96,2010-01-12,2011-11-22,26
13081,United Kingdom,59205.15,28,41423,2114.47,2009-12-08,2011-11-28,27
16013,United Kingdom,57446.44,84,25952,683.89,2009-12-08,2011-12-06,28
14680,United Kingdom,57412.77,58,27364,989.88,2009-12-04,2011-11-14,29
17389,United Kingdom,57224.68,61,17882,938.11,2009-12-04,2011-12-09,30
17850,United Kingdom,56600.08,155,22785,365.16,2009-12-05,2010-12-02,31
12748,United Kingdom,56599.39,336,39108,168.45,2009-12-04,2011-12-09,32
13777,United Kingdom,56478.42,61,26742,925.88,2009-12-02,2011-12-09,33
13093,United Kingdom,54943.65,55,26227,998.98,2009-12-04,2011-03-09,34
13408,United Kingdom,51733.46,106,29499,488.05,2009-12-04,2011-12-08,35
17404,Sweden,47781.12,23,50679,2077.44,2010-01-07,2011-12-05,36
13881,United Kingdom,45179.1,43,29760,1050.68,2010-03-04,2011-12-06,37
15749,United Kingdom,44534.3,3,18028,14844.77,2011-01-11,2011-04-18,38
16705,United Kingdom,43515.05,42,22302,1036.07,2009-12-09,2011-12-09,39
14031,United Kingdom,40999.17,44,14507,931.8,2009-12-03,2011-12-02,40
15039,United Kingdom,40031.43,93,18183,430.45,2009-12-10,2011-11-30,41
17381,United Kingdom,40002.37,38,45767,1052.69,2010-06-09,2011-12-01,42
12471,Germany,39963.79,79,16882,505.87,2009-12-07,2011-12-07,43
15098,United Kingdom,39916.5,3,121,13305.5,2011-06-10,2011-06-10,44
16210,United Kingdom,38489.51,35,14263,1099.7,2009-12-02,2011-12-08,45
17675,United Kingdom,38259.6,70,16416,546.57,2009-12-10,2011-12-08,46
17677,United Kingdom,36692.91,54,21936,679.5,2009-12-16,2011-12-08,47
12921,United Kingdom,35921.04,74,21708,485.42,2009-12-01,2011-11-30,48
13767,United Kingdom,35540.53,73,15235,486.86,2009-12-01,2011-12-07,49
12678,France,34281.18,21,22372,1632.44,2010-01-07,2011-10-28,50
15856,United Kingdom,34220.34,52,20432,658.08,2009-12-03,2011-12-05,51
13902,Denmark,34095.26,5,220600,6819.05,2009-12-15,2010-03-17,52
16779,United Kingdom,33268.24,53,19626,627.7,2009-12-03,2011-12-07,53
14258,United Kingdom,32051.34,25,17488,1282.05,2009-12-04,2011-11-30,54
17428,United Kingdom,31819.76,45,17504,707.11,2009-12-01,2011-12-09,55
12709,Germany,31093.34,34,13983,914.51,2009-12-09,2011-11-24,56
12681,France,30868.28,45,17596,685.96,2009-12-13,2011-11-25,57
14606,United Kingdom,30861.06,192,15635,160.73,2009-12-03,2011-12-08,58
17940,United Kingdom,30393.19,16,85580,1899.57,2009-12-03,2011-10-21,59
13078,United Kingdom,29532.45,57,12183,518.11,2009-12-01,2011-12-06,60
13098,United Kingdom,28882.44,28,15968,1031.52,2011-01-26,2011-12-08,61
17857,United Kingdom,28682.24,24,22060,1195.09,2010-03-08,2011-12-05,62
14527,United Kingdom,27792.3,122,6762,227.81,2009-12-02,2011-12-07,63
15513,United Kingdom,27750.55,35,10831,792.87,2010-01-13,2011-11-06,64
16333,United Kingdom,26626.8,22,32184,1210.31,2011-02-03,2011-12-02,65
17865,United Kingdom,26374.39,46,12985,573.36,2009-12-01,2011-11-09,66
18251,United Kingdom,26278.86,9,39639,2919.87,2009-12-22,2011-09-13,67
13802,United Kingdom,26259.11,19,14129,1382.06,2010-02-16,2011-07-24,68
15498,United Kingdom,26039.58,44,12622,591.81,2009-12-16,2011-12-07,69
12731,France,25775.71,17,11641,1516.22,2010-03-02,2011-11-16,70
14062,United Kingdom,25604.2,24,12799,1066.84,2009-12-10,2011-11-30,71
12744,Singapore,25317.06,11,6994,2301.55,2010-04-27,2011-10-19,72
12939,United Kingdom,25264.8,20,10328,1263.24,2010-01-12,2011-10-06,73
14895,United Kingdom,25119.54,38,10714,661.04,2009-12-10,2011-12-02,74
12621,Germany,24775.81,35,13933,707.88,2010-02-09,2011-12-08,75
16525,United Kingdom,24582.64,48,14630,512.14,2009-12-02,2011-12-07,76
17920,United Kingdom,24516.46,54,12666,454.01,2009-12-06,2011-12-05,77
13001,United Kingdom,24172.1,33,13539,732.49,2009-12-03,2011-12-05,78
14607,United Kingdom,24137.63,22,15585,1097.16,2009-12-15,2011-11-24,79
12682,France,24033.91,52,11018,462.19,2009-12-01,2011-12-06,80
15640,United Kingdom,23957.58,29,12390,826.12,2009-12-14,2011-12-05,81
12482,Sweden,23691.4,29,27042,816.94,2010-02-24,2010-05-12,82
12409,Switzerland,23419.29,7,13143,3345.61,2010-05-23,2011-09-22,83
16133,United Kingdom,22992.26,56,13653,410.58,2010-03-31,2011-12-06,84
14063,United Kingdom,22710.2,9,3850,2523.36,2009-12-08,2010-09-27,85
14051,United Kingdom,22434.0,37,5947,606.32,2009-12-03,2011-12-09,86
17340,United Kingdom,22404.82,18,11210,1244.71,2010-02-14,2011-11-10,87
16839,United Kingdom,22310.49,44,11527,507.06,2010-02-11,2011-12-01,88
12540,Spain,22254.49,33,11019,674.38,2009-12-07,2011-11-20,89
15159,United Kingdom,22116.73,34,13512,650.49,2010-10-04,2011-12-08,90
13340,United Kingdom,22100.56,12,9636,1841.71,2010-02-22,2011-10-25,91
13319,United Kingdom,22082.5,58,9270,380.73,2009-12-06,2011-12-04,92
14667,United Kingdom,21927.14,54,13010,406.06,2009-12-02,2011-11-29,93
12753,Japan,21429.39,6,11421,3571.57,2010-12-12,2011-11-17,94
15615,United Kingdom,21373.97,47,12090,454.77,2009-12-02,2011-11-29,95
17243,United Kingdom,20889.86,69,8198,302.75,2009-12-01,2011-12-08,96
14866,United Kingdom,20850.22,19,9233,1097.38,2010-08-26,2011-11-29,97
17706,United Kingdom,20749.98,31,8049,669.35,2010-01-19,2011-12-05,98
12433,Norway,20581.26,10,17116,2058.13,2010-08-20,2011-12-09,99
15251,United Kingdom,20324.54,21,12108,967.84,2010-01-29,2011-11-30,100
12477,Germany,20276.37,9,6119,2252.93,2010-03-26,2011-11-17,101
18008,United Kingdom,19787.13,23,7830,860.31,2010-01-06,2011-09-30,102
17139,United Kingdom,19584.46,25,9859,783.38,2010-01-11,2011-11-24,103
16843,United Kingdom,19571.43,35,18502,559.18,2009-12-10,2011-10-28,104
17581,United Kingdom,18757.75,43,9972,436.23,2009-12-03,2011-12-09,105
12557,Spain,18716.14,8,6782,2339.52,2009-12-17,2011-11-23,106
14194,United Kingdom,18670.59,36,10037,518.63,2010-01-06,2011-12-05,107
13113,United Kingdom,18625.73,37,4545,503.4,2010-03-28,2011-12-09,108
15808,United Kingdom,18409.93,21,7229,876.66,2009-12-01,2011-02-06,109
17377,United Kingdom,18319.41,78,7589,234.86,2009-12-02,2011-11-16,110
12357,Switzerland,18287.66,3,6587,6095.89,2010-11-16,2011-11-06,111
16746,United Kingdom,18066.4,42,11906,430.15,2009-12-04,2011-12-05,112
12647,Germany,17924.35,36,6878,497.9,2010-01-13,2011-11-17,113
